Year,Month,Day,Country,State,Region,City,Latitude,Longitude,AttackType,Killed,Wounded,Target,Summary,Group,Target_type,Weapon_type
1994,4,28,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Assassination,3,1,Deputy Prime Minister Hassan Makki,,Unknown,Government (General),Firearms
1994,4,29,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Bombing/Explosion,0,0,"Residence, Parliament Speaker Shaykh Abdallah al-Ahmar",,Unknown,Government (General),Explosives
1994,5,2,Yemen,Adan,Middle East & North Africa,Aden,12.852693,44.894836,Assassination,0,1,Captain Salah al-Khayyat,,Unknown,Police,Firearms
1994,6,18,Yemen,Marib,Middle East & North Africa,Sirwah,15.449888,45.018688,Facility/Infrastructure Attack,0,0,Pipeline,,Unknown,Utilities,Firearms
1994,9,14,Yemen,Adan,Middle East & North Africa,Aden,12.852693,44.894836,Hijacking,0,0,B-737 on Aden-Sanaa flight,,Unknown,Airports & Aircraft,Explosives
1995,1,22,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Bombing/Explosion,0,0,Embassy,,Unknown,Government (Diplomatic),Explosives
1995,2,11,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Assassination,1,0,YSP Party Leader,,Unknown,Government (General),Firearms
1995,7,2,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Hijacking,0,0,Ethiopian Airliner,,Unknown,Airports & Aircraft,Explosives
1995,7,14,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Bombing/Explosion,0,0,Political Party office,,Unknown,Government (General),Firearms
1995,8,14,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Assassination,0,0,Baath Party official,,Unknown,Government (General),Firearms
1995,9,11,Yemen,Adan,Middle East & North Africa,Aden,12.852693,44.894836,Bombing/Explosion,0,8,Wedding Party,,Unknown,Private Citizens & Property,Explosives
1995,9,20,Yemen,Sanaa,Middle East & North Africa,Jabal Haraz,15.02528,43.778285,Armed Assault,3,4,Religious Tourists - Bus,,Unknown,Tourists,Firearms
1995,9,25,Yemen,Hadramawt,Middle East & North Africa,Unknown,16.030962,48.996393,Hostage Taking (Kidnapping),0,0,Nabros Oil Co. -Yemen,,Unknown,Business,Unknown
1996,1,25,Yemen,Marib,Middle East & North Africa,Marib,15.45639,45.324871,Hostage Taking (Kidnapping),0,0,Tourists,,Tribal Group,Tourists,Unknown
1996,3,13,Yemen,Ibb,Middle East & North Africa,Yarim,14.297678,44.380596,Bombing/Explosion,3,3,Cinema,,Unknown,Business,Explosives
1996,3,23,Yemen,Taizz,Middle East & North Africa,Taizz,13.586484,44.024105,Armed Assault,0,1,Tourist,,Local Extremist,Tourists,Melee
1996,5,9,Yemen,Adan,Middle East & North Africa,Aden,12.852693,44.894836,Hostage Taking (Kidnapping),0,0,Son of Governor of Aden,,Unknown,Government (General),Unknown
1996,10,18,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Hostage Taking (Kidnapping),0,0,Diplomat,,Al-Toaiman Tribesmen,Government (Diplomatic),Unknown
1996,10,26,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Hostage Taking (Kidnapping),0,0,Diplomat,,Tribal Group,Government (Diplomatic),Unknown
1996,12,19,Yemen,Unknown,Middle East & North Africa,Unknown,,,Hostage Taking (Barricade Incident),0,0,Tourists,,Tribal Group,Tourists,Unknown
1996,12,25,Yemen,Sanaa,Middle East & North Africa,Khaulan,15.174203,44.483566,Hostage Taking (Kidnapping),0,0,Tourists,,Al-Masni Tribe,Tourists,Unknown
1997,2,10,Yemen,Marib,Middle East & North Africa,Marib,15.45639,45.324871,Hostage Taking (Kidnapping),0,0,oil worker (Halliburton Co.),,Tribesmen Murad Tribe,Business,Unknown
1997,3,3,Yemen,Unknown,Middle East & North Africa,Waoi Al-Dabaat,,,Hostage Taking (Kidnapping),0,0,tourists,,Tribesmen Murad Tribe,Tourists,Firearms
1997,3,27,Yemen,Marib,Middle East & North Africa,Marib,15.45639,45.324871,Hostage Taking (Kidnapping),0,0,tourists,,Tribesmen Murad Tribe,Tourists,Unknown
1997,4,20,Yemen,Ibb,Middle East & North Africa,Udayn,13.968159,44.035301,Armed Assault,1,3,Member General Peoples Congress Party,,Unknown,Government (General),Firearms
1997,4,27,Yemen,Dhamar,Middle East & North Africa,Dhamar,14.597842,44.386803,Armed Assault,1,0,security official,,Unknown,Police,Firearms
1997,4,28,Yemen,Taizz,Middle East & North Africa,Taizz,13.586484,44.024105,Bombing/Explosion,2,0,soldiers,,Unknown,Military,Explosives
1997,4,29,Yemen,Hajjah,Middle East & North Africa,Hajjah,15.686525,43.597214,Armed Assault,4,0,political supporters,,Unknown,Government (General),Firearms
1997,4,30,Yemen,Lahij,Middle East & North Africa,Unknown,13.178143,44.632399,Armed Assault,1,4,vote counting center,,Unknown,Government (General),Firearms
1997,5,8,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Assassination,1,0,son of Transportation Minister,,Unknown,Government (General),Firearms
1997,7,26,Yemen,Sanaa,Middle East & North Africa,Khaulan,15.174203,44.483566,Hostage Taking (Kidnapping),0,0,tourists,,Al-Yemenia al-Ulia Tribesmen,Tourists,Unknown
1997,8,6,Yemen,Unknown,Middle East & North Africa,Unknown,,,Hostage Taking (Kidnapping),0,0,U/I Italian,,Tribesmen Murad Tribe,Private Citizens & Property,Unknown
1997,8,13,Yemen,Abyan,Middle East & North Africa,Unknown,13.762167,46.116851,Hostage Taking (Kidnapping),0,0,tourists,,Tribal Group,Tourists,Unknown
1997,8,14,Yemen,Amran,Middle East & North Africa,Khamir,16.105633,43.978841,Hostage Taking (Kidnapping),0,0,tourists,,Tribal Group,Tourists,Unknown
1997,10,15,Yemen,Sanaa,Middle East & North Africa,Jabal Anz,14.935373,43.865216,Hostage Taking (Kidnapping),0,0,Henry Thompson,,Bin Zabyan Tribesmen,NGO,Unknown
1997,10,22,Yemen,Abyan,Middle East & North Africa,Jaar,13.219398,45.307838,Armed Assault,0,1,policeman,,Islamic Jihad Organization (Yemen),Police,Firearms
1997,10,23,Yemen,Dhamar,Middle East & North Africa,Dhamar,14.597842,44.386803,Hostage Taking (Kidnapping),0,0,physicists and wives,,"Tribesmen, al-Itada",Private Citizens & Property,Firearms
1997,10,29,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Armed Assault,0,0,vehicle of ambassador Mohammad bin Hamad al-khalita,,Unknown,Government (Diplomatic),Firearms
1997,10,30,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Hostage Taking (Kidnapping),0,0,"Steve Carpenter, executive director",,Tribal Group,Business,Firearms
1997,12,26,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Assassination,1,0,official,,Unknown,Government (General),Firearms
1998,7,21,Yemen,Al Jawf,Middle East & North Africa,Al-Matammah district,16.185176,44.393366,Armed Assault,0,,Governor Naji al-Dhulaymi,"07/21/1998: The governor of al-Jawf, Naji al-Dhulaymi, was wounded when suspected members of the Shawlan tribe ambushed his convoy in the al-Mutama District in Yemen. Reports did not provide an exact number of the others injured in the attack.",Unknown,Government (General),Firearms
1998,7,27,Yemen,Al Hudaydah,Middle East & North Africa,Hudaydah,15.554965,48.1728,Armed Assault,3,0,Catholic Nuns,"07/27/1998: Three Catholic nuns in the city of Hodeida, Yemen, were shot and killed outside a clinic for the disabled. They were killed by Abdullah al-Nashri, a lone gunman who, it was believed, killed them for religious reasons.",Anti-Christian extremists,Religious Figures/Institutions,Firearms
1998,11,0,Yemen,Unknown,Middle East & North Africa,Unknown,,,Bombing/Explosion,0,0,Hunt Oil Company pipeline,11/00/1998: Jahm tribesmen bombed the U.S.-owned Hunt Oil Company pipeline in an undisclosed location in Yemen. This incident occurred sometime in late November 1998.,Tribesmen,Business,Explosives
1998,11,24,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Bombing/Explosion,2,3,"German Embassy in Sana'a, Yemen","11/24/1998: A car-bomb exploded in front of the German Embassy in Sana'a, Yemen, killing two people. At least three other people were injured in the blast. No one claimed responsibility for the attack.",Unknown,Government (Diplomatic),Explosives
1998,12,2,Yemen,Marib,Middle East & North Africa,Marib,15.45639,45.324871,Bombing/Explosion,0,0,Hunt Oil Company pipeline,"12/02/1998: At dawn, Jahm tribesmen in Marib, Yemen, bombed the U.S.-owned Hunt Oil Company pipeline, which carries oil out of Safer field. The pipeline caught fire, but no injuries were reported in this incident.",Tribesmen,Business,Explosives
1998,12,6,Yemen,Marib,Middle East & North Africa,Bani Zabyan,14.752811,45.247861,Hostage Taking (Kidnapping),0,0,German tourists in the Bani Zabyan area,"12/06/1998: Yemeni tribesmen kidnapped four German tourists in the Bani Zabyan area, in an attempt to harm Yemen's relations with friendly states. The four victims were released following 24 days of captivity on December 30, 1998, after the Yemeni government negotiated a settlement with the kidnappers. No injuries were reported in this incident.",Tribesmen,Tourists,Unknown
1998,12,28,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Hostage Taking (Kidnapping),3,,"British tourists near Sana'a, Yemen","12/28/1998: Sixteen Western tourists from Australia, United States and the United Kingdom were kidnapped near Sana'a, on the road between Habban and Aden, Yemen. Islamic extremists demanded an end to sanctions on Iraq. Two British men and an American woman were killed when security forces stormed the kidnappersÂ’ hideout; the 13 other captives were rescued successfully.",Islamic Jihad Organization (Yemen),Tourists,Firearms
1999,1,9,Yemen,Marib,Middle East & North Africa,Unknown,15.502404,45.449854,Hostage Taking (Kidnapping),0,0,"John Brooke, a oil worker","01/09/1999: John Brooke, a British oil worker, was abducted by armed tribesmen in the Ma'rib governorate of Yemen, approximately 105 miles southeast of Sana'a. He was released on 01/13/1999.",Tribesmen,Business,Unknown
1999,1,17,Yemen,Unknown,Middle East & North Africa,Unknown,,,Hostage Taking (Kidnapping),0,0,British Citizens,01/17/1999: Unidentified gunmen kidnapped two British citizens and four Dutch citizens who were traveling on a road in the northern part of Yemen. They were all freed on 02/02/1999.,Unknown,Private Citizens & Property,Firearms
1999,1,31,Yemen,Unknown,Middle East & North Africa,Unknown,,,Hostage Taking (Kidnapping),0,0,British Oil Worker,01/31/1999: A British oil worker employed by U.S.-owned Hunt Oil was kidnapped by unknown tribesmen in an unnamed location in Yemen. The victim was released six hours later. No further information was available on this incident.,Unknown,Business,Unknown
1999,6,8,Yemen,Adan,Middle East & North Africa,Aden,12.825647,44.846416,Bombing/Explosion,2,4,Civilians at a market in Aden,"06/08/1999: An explosive device went off at a vegetable stand in the central market of Aden, Adan Governorate, Yemen, killing two people and injuring four others. Police suspected that the perpetrators were opposed to the government, but no further information was disclosed.",Unknown,Private Citizens & Property,Explosives
1999,6,22,Yemen,Adan,Middle East & North Africa,Aden,12.825647,44.846416,Bombing/Explosion,2,14,Civilians at a shop in Aden,"06/22/1999: Two people were killed and fourteen others were injured when a bomb exploded in a shop in Aden, Yemen. The perpetrators of this incident were unknown.",Unknown,Business,Explosives
1999,7,9,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Armed Assault,2,1,"Relatives of the Yemen Royal Family  in Sana'a, Yemen","07/09/1999: Three unknown armed men used automatic weapons to attack the Presidential Palace in Sana'a, Yemen. Two men were killed and another injured, all of whom were relatives of the royal family. There was no property damage reported.",Unknown,Government (General),Firearms
1999,7,28,Yemen,Shabwah,Middle East & North Africa,Unknown,14.691211,46.933789,Hostage Taking (Kidnapping),0,0,Canadian Citizen working for Hunt Oil,"07/28/1999: A Canadian, who was working on the U.S.-owned Hunt Oil pipeline, was kidnapped in the Shabwah Governorate of Yemen by armed tribesmen. The hostage was freed the next day.",Unknown,Business,Unknown
1999,8,22,Yemen,Marib,Middle East & North Africa,Unknown,15.502404,45.449854,Hostage Taking (Kidnapping),0,0,French Diplomat and his wife,"08/22/1999: A French Diplomat and his wife were kidnapped in the Marib Province of Yemen by armed tribesmen. They were released on September 2, 1999. No one claimed credit for this incident.",Unknown,Government (Diplomatic),Firearms
1999,8,27,Yemen,Abyan,Middle East & North Africa,Zinjibar,13.129726,45.385571,Bombing/Explosion,0,0,Central prison in Zanjibar,"08/27/1999: In a series of related attacks, a time bomb, set by unknown perpetrators, detonated near the central prison in the southern city of Zanjibar, Yemen. There were no casualties in this incident.",Unknown,Government (General),Explosives
1999,8,27,Yemen,Adan,Middle East & North Africa,Aden,12.825647,44.846416,Bombing/Explosion,0,0,National Bank building in the Tuwahi area of Aden,"08/27/1999: In a series of related attacks, a time bomb, set by unknown perpetrators, detonated at the National Bank building in the Tuwahi area of the southern city of Aden, Yemen. There were no casualties in this incident, which damaged the rear wall of the bank.",Unknown,Government (General),Explosives
1999,8,27,Yemen,Adan,Middle East & North Africa,Aden,12.825647,44.846416,Bombing/Explosion,0,0,A residential area in Aden,"08/27/1999: In a series of related attacks, a time bomb, set by unknown perpetrators, detonated in a residential area in southern city of Aden, Yemen. There were no casualties in this incident. Reports did not indicate specifically where the bomb exploded.",Unknown,Private Citizens & Property,Explosives
1999,8,27,Yemen,Abyan,Middle East & North Africa,Zinjibar,13.129726,45.385571,Bombing/Explosion,0,0,Prosecutor's office in Zanjibar,"08/27/1999: In a series of related attacks, a time bomb, set by unknown perpetrators, detonated in front of the prosecutor's office in the southern city of Zanjibar, Yemen. There were no casualties in this incident.",Unknown,Government (General),Explosives
1999,8,28,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Bombing/Explosion,2,12,"City Center Shopping Mall in Sana'a, Yemen","08/28/1999: A large explosion went off in the City Center in Sana'a, Yemen, setting the city's largest shopping center on fire. Officials insisted that the bombing was a ''criminal act,'' while the police said there was no evidence that the explosion was a terrorist act with political motivations. However, the Adan Abyan Islamic Army (AAIA) claimed credit for this attack. Two people were killed and twelve others were injured in the explosion.",Adan Abyan Islamic Army (AAIA),Private Citizens & Property,Explosives
1999,9,6,Yemen,Marib,Middle East & North Africa,Unknown,15.502404,45.449854,Hostage Taking (Kidnapping),0,0,Sudanese Teachers,"09/06/1999: Armed tribesmen kidnapped three Sudanese teachers in the Marib Province of Yemen. The teachers were released on September 17, 1999.",Unknown,Educational Institution,Firearms
1999,10,26,Yemen,Marib,Middle East & North Africa,Unknown,15.502404,45.449854,Hostage Taking (Kidnapping),0,0,Marta Colburn and her parents; all three are U.S. citizens,"10/26/1999: Marta Colburn and her parents were kidnapped in the Marib area of Yemen.  The American citizens were kidnapped by the Bani Jaber tribe, who demanded the release of tribal members arrested for blowing up portions of the oil pipeline in the area.  In response, 25 tribesmen were arrested in order to put pressure on the assailants to release the hostages.  The hostages were released on October 28, 2999.",Bani Jaber tribe,Private Citizens & Property,Unknown
1999,8,28,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Bombing/Explosion,2,12,Civilians in or near the supermarket or the main offices at Occidental Petroleum in Sanaa,"8/28/1999: A car bomb exploded outside of a supermarket in Sanaa, Yemen.  The supermarket was located near several foreign embassies and the main offices of Canadian Occidental Petroleum.  At least two people were killed in the explosion and another 12 were injured.  No diplomatic personnel were among the dead or injured.  The Turkish and British embassies were damaged, as was the French Ambassador's house.",Unknown,Private Citizens & Property,Explosives
1999,11,3,Yemen,Ad Dali,Middle East & North Africa,Ad Dali,13.702663,44.73357,Armed Assault,1,2,Yeman Soldiers,"11/03/1999: Unknown armed men attacked a troop carrier in Yemen, killing one soldier and injuring 2 others.",Unknown,Military,Firearms
2000,1,3,Yemen,Adan,Middle East & North Africa,Aden,12.825647,44.846416,Bombing/Explosion,0,0,USS The Sullivans,"01/03/2000: Ten months prior to the bombing of the USS Cole in the Gulf of Aden, the perpetrators responsible for the USS Cole attack attempted a similar attack against the USS The Sullivans. The explosives-laden boat sank before reaching the USS The Sullivans, however the perpetrators salvaged the boat and the explosives and used both in the attack on the USS Cole.",Al-Qaida,Military,Explosives
2000,1,17,Yemen,Unknown,Middle East & North Africa,Unknown,,,Hostage Taking (Kidnapping),0,0,French Citizens,"01/17/2000: In Yemen, a French couple and their guides were kidnapped by unspecified members of the al-Shamian tribe. The couple were released on January 18, 2000 only to be recaptured later that day. They were finally released unharmed on January 19, 2000. The tribesmen demanded an increase in government schools and development projects.",Unknown,Private Citizens & Property,Unknown
2000,1,25,Yemen,Marib,Middle East & North Africa,Unknown,15.502404,45.449854,Hostage Taking (Kidnapping),0,0,Kenneth White,"01/25/2000: Unidentified Fejaid tribesmen kidnapped Kenneth White, an American working for Halliburton Oil Company, in the Marib Province in Yemen. He was released on February 10, 2000.",Tribesmen,Utilities,Unknown
2000,2,21,Yemen,Ad Dali,Middle East & North Africa,Unknown,13.700834,44.731569,Bombing/Explosion,0,0,Al-Ra'y al-'Am newspaper headquarters in the Ad Dali' governorate,"02/21/2000: A bomb planted by unknown assailants in the headquarters of the independent Yemeni newspaper Al-Ra'y al-'Am, located in the Ad Dali' governorate, caused damage to the building but no casualties.",Unknown,Journalists & Media,Explosives
2000,3,1,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Hostage Taking (Kidnapping),0,0,"Krzysztof Suprowicz, Polish Ambassador to Yemen","03/01/2000: Krzysztof Suprowicz, the Polish Ambassador to Yemen, was taken from his car in Sana'a, Yemen, by Khawlan tribesmen. The tribe claimed credit for the attack and released the Ambassador on March 4, 2000.",Tribesmen,Government (Diplomatic),Unknown
2000,4,1,Yemen,Adan,Middle East & North Africa,Aden,12.825647,44.846416,Bombing/Explosion,0,2,"Awlad Thabit Company commercial building in Aden, Yemen","04/01/2000: A bomb exploded in Aden, Yemen, injuring two people. The bomb was placed in an alley between a commercial building owned by the Awlad Thabit Company and a gas station. Security services believe the explosion was a terrorist attack, but no group was blamed.",Unknown,Business,Explosives
2000,6,16,Yemen,Marib,Middle East & North Africa,Unknown,15.502404,45.449854,Hostage Taking (Kidnapping),0,0,Italian Citizen,"06/16/2000: Yemeni tribesmen kidnapped an Italian archaeologist in the Marib Province of Yemen. The victim was released on July 20, 2000.",Unknown,Private Citizens & Property,Unknown
2000,10,12,Yemen,Adan,Middle East & North Africa,Aden,12.825647,44.846416,Bombing/Explosion,19,38,Navy Destroyer USS Cole,"10/12/2000: Suicide bombers in a small boat loaded with explosives blasted a house-sized hole in the U.S. Navy destroyer, the U.S.S. Cole, which was stopping for fuel in the Port of Aden, Yemen. Seventeen American sailors were killed and 35 others were injured by the blast. Al-Qa 'ida was later discovered to be behind the attack.",Al-Qaida,Military,Explosives
2000,10,13,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,12.825647,44.846416,Bombing/Explosion,0,0,United Kingdom Embassy in Sana'a,"10/13/2000: An explosion occurred at the United Kingdom Embassy in Sana'a, Yemen. Damage was caused, but no one was injured. Some sources reported that this was a bomb attack, but the Yemeni government claimed it was not a bomb, but rather a diesel generator explosion.",Unknown,Government (Diplomatic),Explosives
