,Year,Country,Region,city,AttackType,Killed,Wounded,Target,Summary,Group,Target_type,Weapon_type,Motive
1860,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,Civilian car in front of Istanbul Water and Sewage Administration,"03/03/1999: Unidentified perpetrators threw a Molotov cocktail at a car that was parked in front of the Istanbul Water and Sewage Administration (ISKI) in Zeytinburnu district, Istanbul, Turkey. The car sustained minor damage in that attack.",Unknown,Private Citizens & Property,Incendiary,Unknown
1861,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"Civilian car in Besiktas district, Istanbul, Turkey.","03/03/1999: Unidentified perpetrators threw Molotov cocktails at a car in Besiktas district, Istanbul, Turkey. The car sustained minor damage in the attack.",Unknown,Private Citizens & Property,Incendiary,Unknown
1862,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,Is Bankasi Bank in Beyoglu district of Istanbul,"03/03/1999: A bomb that was left in front of Is Bankasi, a private bank in Beyoglu district, Istanbul, Turkey, was disarmed by the bomb squad. No further information was provided on this incident, and the perpetrators were unknown.",Unknown,Business,Explosives,Unknown
1863,1999,Turkey,Middle East & North Africa,Batman,Bombing/Explosion,1,3.0,"Main square in Batman, Turkey","03/04/1999: A Kurdish female suicide bomber detonated a bomb in the Batman, Turkey, main square, killing herself and causing property damage to the surrounding area. There were three others wounded in the attack as well. The PeopleÂs Liberation Army of Kurdistan (ARGK) claimed responsibility for the attack. A press statement stated that the bomber was Ms. Nezahat Boyaci.",Kurdistan Workers' Party (PKK),Private Citizens & Property,Explosives,The attack was to protest the arrest of PKK leader Abdallah Ocalan by Turkish forces.
1864,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"Civilian car in Beyoglu district, Istanbul, Turkey","03/04/1999: Unidentified perpetrators threw a Molotov cocktail at a car in Beyoglu district, Istanbul, Turkey. The car sustained minor damage in the attack.",Unknown,Private Citizens & Property,Incendiary,Unknown
1866,1999,Turkey,Middle East & North Africa,Cankiri,Assassination,4,10.0,"Ayhan Cevik, Cankiri Provincial Governor","03/05/1999: A car bomb attack targeted the Cankiri Provincial Governor, Ayhan Cevik, while he was driving in Cankiri, Turkey. Four people were killed and the Governor and nine others were wounded. The Turkish Workers and Peasants Liberation Army (TKP/ML-TIKKO) claimed responsibility for the attack.",Turkish Communist Party/Marxist (TKP-ML),Government (General),Explosives,To assassinate the Governor.
1872,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"A shop in Bakirkoy district, Istanbul, Turkey","03/06/1999: A group of six masked perpetrators firebombed a shop in Bakirkoy district, Istanbul, Turkey. No casualties were reported, but the building sustained minor damage.",Unknown,Business,Incendiary,Unknown
1873,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"A bank in Bakirkoy district, Istanbul, Turkey","03/06/1999: A group of six masked perpetrators firebombed a bank in Bakirkoy district, Istanbul, Turkey. No casualties were reported, but the building sustained minor damage.",Unknown,Business,Incendiary,Unknown
1877,1999,Turkey,Middle East & North Africa,Ankara,Bombing/Explosion,0,0.0,"The MHP election office in Ankara, Turkey","03/07/1999: Unknown perpetrators threw Molotov cocktails at the Nationalist Action Party (MHP) offices in Ankara, Turkey, causing a fire. The offices sustained minor damage, but there were no casualties.",Unknown,Government (General),Incendiary,Unknown
1899,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,1,8.0,"Civilians in Bekirkoy neighborhood, Istanbul, Turkey","03/10/1999: A car bomb killed one and injured eight in neighborhood of Bekirkoy, Istanbul. No one claimed responsibility for this attack.",Unknown,Private Citizens & Property,Explosives,Unknown
1915,1999,Turkey,Middle East & North Africa,Istanbul,Facility/Infrastructure Attack,13,6.0,"Blue Market shopping center in the Kadikoy region of Istanbul, Turkey","03/13/1999: Molotov cocktails were thrown into the Blue Market shopping center in the Kadikoy region of Istanbul, Turkey, killing thirteen and wounding six. No one had claimed responsibility for the attack, but the Kurdistan Workers' Party (PKK) was suspected.",Kurdistan Workers' Party (PKK),Private Citizens & Property,Incendiary,Unknown
1922,1999,Turkey,Middle East & North Africa,Unknown,Facility/Infrastructure Attack,0,0.0,"Turkish Petroleum Corporation (TPAO) Raman-3 oil station in Batman province, Turkey","03/14/1999: The PeopleÂs Liberation Army of Kurdistan (ARGK) attacked the Turkish Petroleum Corporation (TPAO) Raman-3 oil station in Batman province, Turkey. Missile launchers and automatic weapons were used in the attack. There were no casualties, but some oil tankers at the station were hit.",Kurdistan Workers' Party (PKK),Business,Firearms,Unknown
1924,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"Democratic Left Party building in Kirac District, Istanbul, Turkey","03/14/1999: Unidentified persons threw two Molotov cocktails at a building belonging to the Democratic Left Party (DSP) in Kirac District, Istanbul, Turkey, causing some damage, but no casualties.",Unknown,Government (General),Incendiary,Unknown
1925,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"CafÃ© in Istanbul, Turkey","03/14/1999: Unidentified persons threw a homemade bomb into a cafÃ© in Esenyurt District, Istanbul, Turkey. The bomb failed to explode, and experts were able to defuse it.",Unknown,Business,Explosives,Unknown
1926,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,1,5.0,"Civilians in Bahcelievler District, Istanbul, Turkey","03/14/1999: One person was killed and five people were wounded by a bomb that was placed under their truck in Bahcelievler District, Istanbul, Turkey, by unknown perpetrators. No further information was provided.",Unknown,Private Citizens & Property,Explosives,Unknown
1927,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"Burger King store in Istanbul, Turkey","03/14/1999: Experts were able to disable a bomb planted in a Burger King near Istanbul, Turkey. The perpetrators of this incident were unknown.",Unknown,Business,Explosives,Unknown
1933,1999,Turkey,Middle East & North Africa,Ankara,Bombing/Explosion,0,1.0,"European Commission office in Ankara, Turkey","03/15/1999: An explosion occurred outside of the European Commission office in Ankara, Turkey, injuring one and causing damage to two vehicles in the area. The office itself was not damaged. The perpetrators of this incident were unknown.",Unknown,Government (General),Explosives,Unknown
1935,1999,Turkey,Middle East & North Africa,Hatay,Bombing/Explosion,2,0.0,Unknown,"03/16/1999: Two people were killed in a car explosion in Hatay, Turkey. Turkish authorities suspected that the two were suicide bombers, whose bomb detonated prematurely. No group claimed responsibility for this incident.",Unknown,Unknown,Explosives,Unknown
1941,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"Truck carrying bottled gas in Sisli District, Istanbul, Turkey","03/18/1999: Unknown perpetrators threw a Russian-made fragmentation grenade at a truck carrying bottled gas in Sisli District, Istanbul, Turkey. No casualties were reported in this incident.",Unknown,Business,Explosives,Unknown
1942,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,4.0,"Erzincanlilar Association office in Samandira District, Istanbul, Turkey","03/18/1999: Unknown perpetrators threw a bomb at the Erzincanlilar Association office in Samandira District, Istanbul, Turkey, wounding four people. The Kurdish WorkersÂ Party (PKK) was suspected in the attack.",Kurdistan Workers' Party (PKK),NGO,Explosives,Unknown
1943,1999,Turkey,Middle East & North Africa,Ankara,Bombing/Explosion,0,0.0,"Democratic Left Party Election Information Bureau in Ankara, Turkey","03/18/1999: A Molotov cocktail was thrown at the Democratic Left Party (DSP) election information bureau in Ankara, Turkey, causing a fire and some damage. No group claimed credit for this attack.",Unknown,Government (General),Incendiary,Unknown
1944,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,Election Bureau,"03/18/1999: A Molotov cocktail was thrown at the Republican PeopleÂs Party and Motherland Party election bureaus in Umraniya, Istanbul, Turkey, causing a fire and some damage. No group claimed credit for this attack.",Unknown,Violent Political Party,Incendiary,Unknown
1945,1999,Turkey,Middle East & North Africa,Mus,Bombing/Explosion,0,0.0,"Nationalist Movement Party Mayoral candidate office in Mus, Turkey","03/18/1999: Two unnamed perpetrators were caught after they threw a petrol bomb at the office of a Mayoral candidate from the Nationalist Movement Party (MHP) in Mus, Turkey. The bomb started a fire, but caused only minor damage before it was extinguished. Reports did not state whether the perpetrators acted on behalf of a group.",Unknown,Government (General),Incendiary,Unknown
1961,1999,Turkey,Middle East & North Africa,Diyarbakir,Bombing/Explosion,1,3.0,"Police station in Diyarbakir, Turkey","03/20/1999: A suicide bomber wounded two police officers and a bystander as he approached a police station in Diyarbakir, Turkey. The Kurdistan WorkerÂs Party (PKK) was suspected of this attack.",Kurdistan Workers' Party (PKK),Police,Explosives,Unknown
1962,1999,Turkey,Middle East & North Africa,Unknown,Bombing/Explosion,0,0.0,Unknown,"03/20/1999: A female suicide bomber attempted to detonate her device in Sirnak province, Turkey, but was arrested before she was successful. The Kurdistan Workers' Party (PKK) was suspected in this attempt. The target of the attack was not identified in the reports.",Kurdistan Workers' Party (PKK),Unknown,Explosives,Unknown
1964,1999,Turkey,Middle East & North Africa,Van,Bombing/Explosion,0,0.0,"Power transformer in Van, Turkey","03/21/1999: The People's Liberation Army of Kurdistan (ARGK) Metropolitan Revenge Brigade claimed responsibility for a bomb attack in Van, Turkey. There were no casualties, but the bomb destroyed a power transformer and damaged an administration building.",Kurdistan Workers' Party (PKK),Utilities,Explosives,Unknown
1969,1999,Turkey,Middle East & North Africa,Unknown,Bombing/Explosion,0,0.0,"Turkish Petroleum Corporation (TPAO) oil pipeline in Mardin Province, Turkey","03/21/1999: The People's Liberation Army of Kurdistan (ARGK) claimed responsibility for a bomb that targeted an oil pipeline in Mardin Province, Turkey. This attack caused a section of the pipeline from Iraq to be blocked for a day.",Kurdistan Workers' Party (PKK),Business,Explosives,Unknown
1976,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"Nationalist Movement Party election office in Maltepe District, Istanbul, Turkey","03/23/1999: Unknown perpetrators threw a Molotov cocktail at the Nationalist Movement Party (MHP) election office in Maltepe District, Istanbul, Turkey. The office sustained only minor damage and there were no casualties.",Unknown,Government (General),Incendiary,Unknown
1982,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,1,10.0,Bus carrying Policemen in Turkey,"03/26/1999: Three policemen and seven bystanders were injured by a suicide bomber in Taksim District, Istanbul, Turkey. The female bomber detonated two hand grenades, and security forces disarmed three others, which did not detonate. The bombing occurred near a bus belonging to security forces. The Kurdistan PeopleÂs Liberation Army (ARGK) claimed responsibility for the attack through DEM, a pro-Kurdish news agency.",Kurdistan Workers' Party (PKK),Police,Explosives,Unknown
1987,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"Two civilian cars in Zeytinburnu District, Istanbul, Turkey","03/27/1999: Molotov cocktails were thrown at two cars in Zeytinburnu District, Istanbul, Turkey. The perpetrators of this incident were not identified.",Unknown,Private Citizens & Property,Incendiary,Unknown
1989,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,1,7.0,"Riot police in Istanbul, Turkey","03/27/1999: Seven people were wounded when two perpetrators threw a bag of explosives at riot police in Istanbul, Turkey. One of the perpetrators was killed in the attack. Following the bombing, police questioned whether the attack was a suicide bombing. No group claimed responsibility for this attack.",Unknown,Police,Explosives,Unknown
1996,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"Nationalist Action Party (MHP) office in Istanbul, Turkey","03/28/1999: A bomb was set off under a car in front of the National Action Party election office in Zeytinburnu District, Istanbul, Turkey. The office and surrounding area sustained minor damage, but there were no casualties. The perpetrators of this incident were not identified",Unknown,Government (General),Explosives,Unknown
2007,1999,Turkey,Middle East & North Africa,Of,Armed Assault,0,5.0,Virtue Party District Chairmanship in Turkey,"03/30/1999: Five people were injured in an armed attack on the Virtue Party (FP) District Chairmanship in Of, Turkey. Two people entered the building and began firing randomly. One assailant, Husnu Bak, was captured, and the other was identified as Rahmi Yagli.",Unknown,Government (General),Firearms,Unknown
2027,1999,Turkey,Middle East & North Africa,Marcik,Bombing/Explosion,1,0.0,Unknown,"04/03/1999: A suicide bomber named Cenan Akgun detonated an explosive device in the in Erdemli quarter of Marcik, in the Tunceli Province of Turkey. There were no casualties except the bomber who died. It was possible that the bomb exploded prematurely.",Unknown,Unknown,Explosives,Unknown
2031,1999,Turkey,Middle East & North Africa,Bingol,Assassination,2,20.0,Suleyman Kamci,"04/05/1999: A suicide bomber from the Kurdistan Workers' Party (PKK), identified as Baki Tatli, targeted Bingol Governor Suleyman Kamci using an explosive device in the Bingol province of Turkey. Two were killed, the bomber and a teenage girl, but the governor escaped unharmed.",Kurdistan Workers' Party (PKK),Government (General),Explosives,Unknown
2038,1999,Turkey,Middle East & North Africa,Hakkari,Assassination,2,5.0,Hakkari Governor Nihat Canpolat,"04/08/1999: An Iranian suicide bomber, identified as Turab Muhammedi, attacked Hakkari Governor Nihat Canpolat. The suicide bomber and CanpolatÂs driver both died, while Canpolat, his bodyguard, Colonel Tahir Cebi, and two passersby were injured. Five men, two Iranians and three Turks were arrested for participating in the suicide bombing.",Unknown,Government (General),Explosives,Unknown
2041,1999,Turkey,Middle East & North Africa,Yenimahalle District,Armed Assault,0,3.0,"A campaign bus of Democratic Left Party (DSP) candidate, Leman Canbol touring the Yenimahalle district","04/09/1999: In the Yenimahalle District of Turkey, unknown persons fired shots at the minibus of Democratic Left Party s (DSP) candidate for mayor, Leman Canbol. Three people were slightly injured by broken glass.",Unknown,Government (General),Firearms,Unknown
2061,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"The election bureau of the Virtue Party in Maltepe, Turkey","04/16/1999: In Turkey, an explosive device planted by unknown perpetrators caused damage to the Virtue Party election bureau in the Istanbul suburb of Maltepe.",Unknown,Government (General),Explosives,Unknown
2063,1999,Turkey,Middle East & North Africa,Bingol,Bombing/Explosion,2,0.0,Unknown,"04/18/1999: An unknown group, armed with grenades, tried to enter Bingol, Turkey, in order to disrupt the local elections. Two perpetrators were killed by security forces in the attempt.",Unknown,Unknown,Explosives,The purpose of the attack was aimed at disrupting the Bingol local elections.
2109,1999,Turkey,Middle East & North Africa,Yuksekova District,Armed Assault,1,4.0,The Yuksekova District Gendermarie Commandership,"05/06/1999: Unknown perpetrators opened fire on soldiers-on-duty in the Gendermarie Commandership in the Yuksekova District of Hakkari Province, Turkey. One fatality and four injuries resulted from this attack.",Unknown,Military,Firearms,Unknown
2122,1999,Turkey,Middle East & North Africa,Cat district,Armed Assault,8,4.0,The Rural Affairs maintenance house near Cat County,"05/12/1999: Unknown perpetrators attacked a maintenance house, which belonged to the Directorate General of Rural Affairs, killing the watchman on duty.",Unknown,Government (General),Firearms,Unknown
2136,1999,Turkey,Middle East & North Africa,Karakocan district,Bombing/Explosion,0,5.0,A vehicle carrying Turkish soldiers,"05/18/1999: Perpetrators suspected of belonging to the Kurdistan Workers' Party (PKK) planted a mine that detonated when a Turkish military vehicle passed by along a road near to the Ozluce Dam in Karakoan, Turkey. The explosion injured five military personnel including one officer.",Kurdistan Workers' Party (PKK),Military,Explosives,Unknown
2171,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,2.0,Masal Evi bar in Kadikoy District,"06/02/1999: Two unidentified assailants hurled one or two hand grenades at the outer door of Masal Evi Bar in the Kadikoy District of Turkey. Patri Klein, a German citizen, and his wife, Sureyya Klein, sustained minor injuries and minor property damage occurred as well. Turkish authorities detained a number of suspects following the explosion and early reports indicated that an Islamic fundamentalist organization was responsible for the attack, but no further information was provided on the perpetrators.",Muslim extremists,Business,Explosives,Unknown
2237,1999,Turkey,Middle East & North Africa,Diyadin District,Armed Assault,2,0.0,Gendarme post in Diyadin District,"06/16/1999: In the Diyadin District of Agri Province, Turkey, a group of perpetrators attacked the gendarme post at the entrance to the District, as well as security and municipal buildings, with missiles and rifles. Two of the perpetrators were killed in the attack, which caused no additional casualties. The municipal buildings were also damaged in the attack.",Unknown,Police,Firearms,Unknown
2245,1999,Turkey,Middle East & North Africa,Konya,Assassination,1,0.0,"Ramazan Sagir, former True Path Party (DYP) leader","06/17/1999: Two unidentified armed assailants attacked and killed Ramazan Sagir, a former leader of the True Path Party (DYP) of Selcuklu District from 1996-97, as he emerged from his house on Rauf Denktas Boulevard in Konya, Selcuklu district, Turkey. Sagir died at the scene.",Unknown,Government (General),Firearms,Unknown
2260,1999,Turkey,Middle East & North Africa,Kiziltepe District,Assassination,0,8.0,Mesut Yildirim,"06/20/1999: A group of unidentified perpetrators with shotguns attacked the home of Kiziltepe District Governor Mesut Yildirim on Senyurt Boulevard in Kiziltepe district, Mardin province, Turkey. Eight security officers were wounded in the attack, though there were no casualties.",Unknown,Government (General),Firearms,Unknown
2304,1999,Turkey,Middle East & North Africa,Elazig,Armed Assault,8,5.0,"Idealist Club members at Coffee Shop in Elazig, Turkey","07/01/1999: Nevzat Kur and Sukriye Yilmaz, members of the People's Liberation Army of Kurdistan (ARGK), assumed responsibility for an armed attack on a coffee house in central Elazig, Turkey. The attack killed eight, including Idealist Club members and two perpetrators, and wounded five civilians. The degree of damage resulting from the incident was not reported.",Kurdistan Workers' Party (PKK),Business,Firearms,Unknown
